Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Supplier,Item_Type,Item_MRP,Sale_Date,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
DRJ59,11.65,low fat,0.019356132,Netpit,Hard Drinks,39.1164,11/07/2017,OUT013,1987,High,Tier 3,Supermarket Type1,308.9312
FDE51,5.925,regular,0.161466534,Berryhypo,Dairy,45.5086,14/02/2017,OUT010,1998,Small,Tier 3,Grocery Store,178.4344
FDC14,12.30570501,regular,0.072221801,Fitimp,Canned,43.6454,29/05/2017,OUT019,1985,Small,Tier 1,Grocery Store,125.8362
FDV38,19.25,low fat,0.170348551,Chaoszulu,Dairy,55.7956,29/09/2017,OUT010,1998,Small,Tier 3,Grocery Store,163.7868
NCS17,18.6,low fat,0.080829372,Muralcell,Health and Hygiene,96.4436,26/05/2018,OUT018,2009,Medium,Tier 3,Supermarket Type2,2741.7644
FDP33,18.7,low fat,0.066850223,Sanvim,Snack Foods,256.6672,12/06/2017,OUT018,2009,Medium,Tier 3,Supermarket Type2,3068.0064
FDO23,17.85,low fat,0.066255098,Netpit,Breads,93.1436,18/04/2017,OUT045,2002,Small,Tier 2,Supermarket Type1,2174.5028
DRH01,17.5,low fat,0.097904029,Ifsgun,Soft Drinks,174.8738,03/05/2018,OUT046,1997,Small,Tier 1,Supermarket Type1,2085.2856
NCX29,10,low fat,0.089291137,Losesimps,Health and Hygiene,146.7102,19/03/2017,OUT049,1999,Medium,Tier 1,Supermarket Type1,3791.0652
FDV20,13.22476938,regular,0.059511812,Laxnod,Fruits and Vegetables,128.0678,23/02/2018,OUT027,1985,Medium,Tier 3,Supermarket Type3,2797.6916
DRZ11,8.85,regular,0.113123893,Coynow,Soft Drinks,122.5388,31/03/2017,OUT018,2009,Medium,Tier 3,Supermarket Type2,1609.9044
FDX10,12.98787955,regular,0.123111453,Vuggypelf,Snack Foods,36.9874,01/05/2017,OUT027,1985,Medium,Tier 3,Supermarket Type3,388.1614
FDB34,12.98787955,low fat,0.026480954,Humorvane,Snack Foods,87.6198,20/05/2017,OUT027,1985,Medium,Tier 3,Supermarket Type3,2180.495
FDU02,13.35,low fat,0.102511504,Berryhypo,Dairy,230.6352,30/03/2017,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528
FDK43,9.8,low fat,0.02681843,Betuhs,Meat,126.002,24/11/2018,OUT013,1987,High,Tier 3,Supermarket Type1,2150.534
FDA46,13.6,low fat,0.117818348,Berryhypo,Snack Foods,192.9136,08/02/2017,OUT049,1999,Medium,Tier 1,Supermarket Type1,2527.3768
FDC02,21.35,low fat,0.069102831,Forksjohn,Canned,259.9278,07/04/2018,OUT018,2009,Medium,Tier 3,Supermarket Type2,6768.5228
FDL50,12.15,regular,0.042277867,Randymeri,Canned,126.5046,10/04/2018,OUT013,1987,High,Tier 3,Supermarket Type1,373.5138
FDM39,6.42,low fat,0.089498926,Leepad,Dairy,178.1002,12/06/2018,OUT010,1998,Small,Tier 3,Grocery Store,358.2004
NCP05,19.6,low fat,0.05521598,Muralcell,Health and Hygiene,153.3024,19/06/2018,OUT045,2002,Small,Tier 2,Supermarket Type1,2428.8384
FDV49,10,low fat,0.025879577,Wpmtov,Canned,265.2226,18/12/2017,OUT045,2002,Small,Tier 2,Supermarket Type1,5815.0972
FDL12,15.85,regular,0.121632721,Coynow,Baking Goods,60.622,05/12/2018,OUT046,1997,Small,Tier 1,Supermarket Type1,2576.646
FDS02,13.4260689,regular,0.255394896,Hadjiprom,Dairy,196.8794,07/04/2018,OUT019,1985,Small,Tier 1,Grocery Store,780.3176
NCL17,7.39,low fat,0.067779712,Coynow,Health and Hygiene,143.8812,09/12/2017,OUT046,1997,Small,Tier 1,Supermarket Type1,3134.5864
FDM40,10.195,low fat,0.159803853,Berryhypo,Frozen Foods,141.5154,20/08/2017,OUT013,1987,High,Tier 3,Supermarket Type1,850.8924
FDR13,9.895,regular,0.028696932,Girthbrin,Canned,117.0492,16/06/2018,OUT013,1987,High,Tier 3,Supermarket Type1,810.9444
FDA43,10.895,low fat,0.065041581,Ileumshun,Fruits and Vegetables,196.3794,25/01/2018,OUT017,2007,Small,Tier 2,Supermarket Type1,3121.2704
NCP18,12.15,low fat,0.028760013,Reeksmisc,Household,151.4708,09/04/2017,OUT017,2007,Small,Tier 2,Supermarket Type1,4815.0656
FDK21,7.905,low fat,0.010053105,Ileumshun,Snack Foods,249.0408,05/11/2017,OUT018,2009,Medium,Tier 3,Supermarket Type2,6258.52
NCX54,9.195,low fat,0.048157338,Lovdom,Household,106.1622,09/05/2017,OUT045,2002,Small,Tier 2,Supermarket Type1,2117.244
DRK35,8.365,low fat,0.071958197,Egopin,Hard Drinks,38.0506,10/08/2018,OUT049,1999,Medium,Tier 1,Supermarket Type1,796.9626
FDY21,15.1,low fat,0.173481304,Borestabs,Snack Foods,194.511,21/09/2017,OUT046,1997,Small,Tier 1,Supermarket Type1,4910.275
FDI26,12.30570501,low fat,0.061082177,Borestabs,Canned,180.0344,21/07/2017,OUT019,1985,Small,Tier 1,Grocery Store,892.172
FDM20,10,low fat,0.068512943,Betuhs,Fruits and Vegetables,246.9144,23/06/2018,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.1872
FDV27,7.97,regular,0.040071131,Coynow,Meat,87.3514,06/08/2017,OUT045,2002,Small,Tier 2,Supermarket Type1,1062.6168
FDF09,13.22476938,low fat,0.012090074,Laxnod,Fruits and Vegetables,38.2848,19/08/2018,OUT027,1985,Medium,Tier 3,Supermarket Type3,484.7024
FDY40,12.86706128,regular,0.15028599,Bigshy,Frozen Foods,51.0692,29/04/2018,OUT019,1985,Small,Tier 1,Grocery Store,147.8076
FDY45,12.98787955,low fat,0.026015519,Lexlee,Snack Foods,255.8356,25/10/2017,OUT027,1985,Medium,Tier 3,Supermarket Type3,2543.356
FDC46,17.7,low fat,0.195068226,Lovdom,Snack Foods,185.4266,31/05/2017,OUT010,1998,Small,Tier 3,Grocery Store,184.4266
FDH19,19.35,low fat,0.033082215,Eyecub,Meat,172.5738,14/05/2018,OUT035,2004,Small,Tier 2,Supermarket Type1,4865.6664
FDZ03,13.65,regular,0.078946455,Vuggypelf,Dairy,186.024,19/01/2017,OUT045,2002,Small,Tier 2,Supermarket Type1,1118.544
DRH37,17.6,low fat,0.041700756,Lexlee,Soft Drinks,164.8526,08/04/2018,OUT045,2002,Small,Tier 2,Supermarket Type1,2302.3364
NCI17,8.645,low fat,0.143422643,Cspkit,Health and Hygiene,95.841,20/07/2018,OUT046,1997,Small,Tier 1,Supermarket Type1,2027.361
FDJ58,15.6,regular,0.105296072,Floatchug,Snack Foods,170.1764,05/04/2018,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528
FDL12,15.85,regular,0.121531501,Sanvim,Baking Goods,59.222,21/11/2018,OUT013,1987,High,Tier 3,Supermarket Type1,599.22
FDH35,18.25,low fat,0.067563564,Rantsknox,Starchy Foods,164.7526,14/06/2017,OUT045,2002,Small,Tier 2,Supermarket Type1,4604.6728
FDG02,7.855,low fat,0.011324862,Soyvan,Canned,189.6188,13/11/2017,OUT017,2007,Small,Tier 2,Supermarket Type1,2285.0256
NCZ18,7.825,low fat,0.186357148,Micronard,Household,254.3698,01/10/2018,OUT049,1999,Medium,Tier 1,Supermarket Type1,5580.7356
FDC29,8.39,regular,0.024205661,Lindymali,Frozen Foods,114.0176,06/09/2018,OUT046,1997,Small,Tier 1,Supermarket Type1,2290.352
FDQ10,12.85,low fat,0.033230816,Laxnod,Snack Foods,172.3422,04/11/2017,OUT049,1999,Medium,Tier 1,Supermarket Type1,1207.0954
FDN48,12.27710821,low fat,0.113720344,Floatchug,Baking Goods,89.9804,04/11/2017,OUT019,1985,Small,Tier 1,Grocery Store,643.1628
FDL04,19,low fat,0.112556507,Scalebend,Frozen Foods,104.9622,18/05/2018,OUT017,2007,Small,Tier 2,Supermarket Type1,1587.933
FDV25,5.905,low fat,0.068129315,Borestabs,Canned,222.5456,03/07/2017,OUT045,2002,Small,Tier 2,Supermarket Type1,5305.0944
FDD58,7.76,low fat,0.059352241,Flufur,Snack Foods,101.87,12/10/2017,OUT046,1997,Small,Tier 1,Supermarket Type1,1697.79
FDN04,11.8,regular,0.014087057,Egopin,Frozen Foods,180.3344,04/07/2017,OUT046,1997,Small,Tier 1,Supermarket Type1,1427.4752
FDV45,16.75,low fat,0.045230944,Wpmtov,Snack Foods,187.9556,06/01/2017,OUT018,2009,Medium,Tier 3,Supermarket Type2,4693.89
NCL18,13.3847365,low fat,0.293417759,Girthbrin,Household,194.6136,13/07/2018,OUT019,1985,Small,Tier 1,Grocery Store,583.2408
FDR12,12.27710821,regular,0.031382044,Laxnod,Baking Goods,171.3764,25/02/2018,OUT027,1985,Medium,Tier 3,Supermarket Type3,3091.9752
FDG20,15.5,regular,0.12639886,Arisemews,Fruits and Vegetables,177.0028,01/06/2017,OUT017,2007,Small,Tier 2,Supermarket Type1,2479.4392
FDZ55,6.055,low fat,0.025403898,Lovdom,Fruits and Vegetables,160.992,13/04/2018,OUT035,2004,Small,Tier 2,Supermarket Type1,2716.464
FDQ49,12.76820225,regular,0.039057677,Ifsgun,Breakfast,155.963,20/04/2018,OUT027,1985,Medium,Tier 3,Supermarket Type3,3285.723
FDN33,6.305,regular,0.123115764,Fitimp,Snack Foods,95.6436,18/12/2017,OUT046,1997,Small,Tier 1,Supermarket Type1,661.8052
FDN27,20.85,low fat,0.039624006,Betuhs,Meat,117.2808,13/09/2018,OUT049,1999,Medium,Tier 1,Supermarket Type1,1523.3504
FDW20,20.75,low fat,0.040421193,Aportzeds,Fruits and Vegetables,122.173,19/08/2018,OUT010,1998,Small,Tier 3,Grocery Store,369.519
DRG27,8.895,low fat,0.105274111,Coynow,Dairy,39.9138,24/09/2018,OUT049,1999,Medium,Tier 1,Supermarket Type1,690.4346
DRI25,19.6,low fat,0.033970195,Airare,Soft Drinks,55.1614,27/11/2018,OUT045,2002,Small,Tier 2,Supermarket Type1,1381.535
FDA44,19.7,low fat,0.053212652,Dreamcoma,Fruits and Vegetables,57.893,04/09/2017,OUT035,2004,Small,Tier 2,Supermarket Type1,622.523
NCR17,9.8,low fat,0.024378706,Netpit,Health and Hygiene,114.5492,21/08/2017,OUT035,2004,Small,Tier 2,Supermarket Type1,1274.3412
FDU04,12.86706128,low fat,0.009714595,Betuhs,Frozen Foods,120.0414,21/02/2018,OUT019,1985,Small,Tier 1,Grocery Store,487.3656
FDF41,12.15,low fat,0.131383762,Randymeri,Frozen Foods,246.046,23/02/2018,OUT049,1999,Medium,Tier 1,Supermarket Type1,1231.73
FDB56,8.75,regular,0.07461309,Humorvane,Fruits and Vegetables,187.4556,09/07/2017,OUT035,2004,Small,Tier 2,Supermarket Type1,3755.112
NCP18,13.3847365,low fat,0.028459761,Muralcell,Household,149.9708,30/07/2017,OUT027,1985,Medium,Tier 3,Supermarket Type3,4363.6532
FDB56,8.75,regular,0.074627201,Dreamcoma,Fruits and Vegetables,187.8556,23/02/2017,OUT046,1997,Small,Tier 1,Supermarket Type1,1314.2892
FDT28,13.3,low fat,0.063695084,Fewcad,Frozen Foods,151.0708,06/10/2018,OUT045,2002,Small,Tier 2,Supermarket Type1,1805.6496
FDD10,12.98787955,regular,0.045797829,Ifsgun,Snack Foods,178.5344,08/03/2018,OUT027,1985,Medium,Tier 3,Supermarket Type3,2854.9504
FDW57,8.31,regular,0.115857223,Leepad,Snack Foods,179.1028,02/08/2018,OUT049,1999,Medium,Tier 1,Supermarket Type1,3896.2616
DRB48,16.75,regular,0.024832806,Egopin,Soft Drinks,38.7822,07/10/2017,OUT013,1987,High,Tier 3,Supermarket Type1,667.7974
FDP09,19.75,low fat,0.034027909,Lexlee,Snack Foods,212.0902,08/03/2018,OUT018,2009,Medium,Tier 3,Supermarket Type2,3185.853
FDH14,17.1,regular,0.0467696,Hahlee,Canned,141.1838,06/07/2017,OUT013,1987,High,Tier 3,Supermarket Type1,2247.7408
FDA47,10.5,regular,0.116576702,Chaoszulu,Baking Goods,163.121,11/07/2018,OUT013,1987,High,Tier 3,Supermarket Type1,1794.331
FDG12,6.635,regular,0.0691693,Wpmtov,Baking Goods,121.3098,01/08/2017,OUT045,2002,Small,Tier 2,Supermarket Type1,2530.7058
DRE60,11.84745989,low fat,0.278974075,Lyerut,Soft Drinks,225.372,02/08/2018,OUT019,1985,Small,Tier 1,Grocery Store,679.116
DRK49,14.15,low fat,0.035913805,Chaoszulu,Soft Drinks,41.4138,13/12/2017,OUT013,1987,High,Tier 3,Supermarket Type1,812.276
FDD03,13.3,low fat,0.079806266,Laxnod,Dairy,232.53,01/03/2018,OUT046,1997,Small,Tier 1,Supermarket Type1,699.09
FDS52,8.89,low fat,0.005505481,Fitimp,Frozen Foods,102.4016,23/04/2017,OUT017,2007,Small,Tier 2,Supermarket Type1,2732.4432
FDW39,12.81734421,regular,0.064625342,Quaext,Meat,176.937,20/04/2018,OUT019,1985,Small,Tier 1,Grocery Store,176.437
FDX34,12.98787955,low fat,0.071636937,Floatchug,Snack Foods,121.7098,30/11/2017,OUT027,1985,Medium,Tier 3,Supermarket Type3,4097.3332
FDV11,9.1,regular,0.066255098,Fitimp,Breads,173.2054,27/01/2018,OUT045,2002,Small,Tier 2,Supermarket Type1,3151.8972
FDD17,7.5,low fat,0.032677678,Arisemews,Frozen Foods,239.0906,31/12/2018,OUT049,1999,Medium,Tier 1,Supermarket Type1,5942.265
FDZ16,16.85,regular,0.160760054,Skidssops,Frozen Foods,192.4478,17/09/2017,OUT017,2007,Small,Tier 2,Supermarket Type1,4843.695
FDZ46,7.485,low fat,0.06911065,Hadjiprom,Snack Foods,109.0228,24/03/2017,OUT035,2004,Small,Tier 2,Supermarket Type1,2542.0244
DRA12,11.6,low fat,0.041177505,Dampswiny,Soft Drinks,140.3154,11/08/2017,OUT017,2007,Small,Tier 2,Supermarket Type1,2552.6772
FDY58,11.65,low fat,0.040081193,Berryhypo,Snack Foods,227.0694,07/10/2017,OUT018,2009,Medium,Tier 3,Supermarket Type2,1141.847
NCF19,13,low fat,0.035307322,Rantsknox,Household,47.5034,19/06/2018,OUT017,2007,Small,Tier 2,Supermarket Type1,680.4476
DRJ13,12.65,low fat,0.063017847,Muralcell,Soft Drinks,159.0578,26/07/2017,OUT045,2002,Small,Tier 2,Supermarket Type1,2085.9514
FDB14,20.25,regular,0.171938781,Muralcell,Canned,92.512,02/04/2017,OUT010,1998,Small,Tier 3,Grocery Store,186.424
FDJ38,8.6,regular,0.040197932,Wpmtov,Canned,190.153,06/06/2017,OUT035,2004,Small,Tier 2,Supermarket Type1,3036.048
FDW11,12.6,low fat,0.049058014,Chaoszulu,Breads,62.7194,21/11/2017,OUT017,2007,Small,Tier 2,Supermarket Type1,866.8716
FDL40,17.7,low fat,0.01161096,Shycrc,Frozen Foods,95.041,23/10/2018,OUT035,2004,Small,Tier 2,Supermarket Type1,868.869
DRI49,14.15,low fat,0.183507295,Borestabs,Soft Drinks,82.4276,29/10/2018,OUT046,1997,Small,Tier 1,Supermarket Type1,1137.1864
FDV38,19.25,low fat,0.102349519,Loresgunk,Dairy,52.7956,21/01/2018,OUT017,2007,Small,Tier 2,Supermarket Type1,928.1252
DRG23,8.88,low fat,0.086708987,Berryhypo,Hard Drinks,151.7682,10/05/2017,OUT013,1987,High,Tier 3,Supermarket Type1,762.341
NCP30,20.5,low fat,0.032835147,Dampswiny,Household,40.2822,25/04/2017,OUT045,2002,Small,Tier 2,Supermarket Type1,707.0796
FDY25,12.30570501,low fat,0.033809913,Rantsknox,Canned,180.5976,24/10/2018,OUT027,1985,Medium,Tier 3,Supermarket Type3,7968.2944
NCH54,13.5,low fat,0.07266912,Randymeri,Household,160.292,17/01/2018,OUT046,1997,Small,Tier 1,Supermarket Type1,1438.128
NCR53,13.14231395,low fat,0.144338493,Lindymali,Health and Hygiene,224.4404,13/11/2018,OUT027,1985,Medium,Tier 3,Supermarket Type3,6976.2524
FDS52,8.89,low fat,0.009163216,Lexlee,Frozen Foods,101.7016,10/08/2018,OUT010,1998,Small,Tier 3,Grocery Store,101.2016
FDG02,7.855,low fat,0.011307038,Humorvane,Canned,188.5188,11/06/2017,OUT018,2009,Medium,Tier 3,Supermarket Type2,952.094
NCO26,7.235,low fat,0.076855628,Hadjiprom,Household,116.0492,03/01/2017,OUT046,1997,Small,Tier 1,Supermarket Type1,1969.4364
FDH35,13.69073077,low fat,0.059956876,Booelf,Starchy Foods,165.4526,24/03/2018,OUT027,1985,Medium,Tier 3,Supermarket Type3,5262.4832
FDB51,6.92,low fat,0.038532062,Eyecub,Dairy,60.5852,06/06/2017,OUT045,2002,Small,Tier 2,Supermarket Type1,1314.2892
FDX44,9.3,low fat,0.043209581,Shycrc,Fruits and Vegetables,90.8172,19/08/2018,OUT017,2007,Small,Tier 2,Supermarket Type1,535.3032
NCN07,18.5,low fat,0.056816465,Berryhypo,Others,132.1284,19/12/2018,OUT010,1998,Small,Tier 3,Grocery Store,263.6568
NCC31,8.02,low fat,0.019866705,Volfig,Household,154.5972,13/10/2017,OUT035,2004,Small,Tier 2,Supermarket Type1,1402.1748
NCX54,9.195,low fat,0.048331717,Rantsknox,Household,105.1622,28/06/2017,OUT017,2007,Small,Tier 2,Supermarket Type1,1693.7952
NCO55,12.8,low fat,0.091221855,Girthbrin,Others,105.5938,23/06/2018,OUT045,2002,Small,Tier 2,Supermarket Type1,2143.876
NCC30,16.6,low fat,0.027622076,Booelf,Household,177.6344,22/06/2018,OUT049,1999,Medium,Tier 1,Supermarket Type1,2676.516
FDI16,14,regular,0.065645239,Fitimp,Frozen Foods,53.064,19/02/2018,OUT035,2004,Small,Tier 2,Supermarket Type1,905.488
FDP16,18.6,low fat,0.039355947,Muralcell,Frozen Foods,246.3802,18/04/2017,OUT049,1999,Medium,Tier 1,Supermarket Type1,7370.406
FDB11,16,low fat,0.060836524,Lyerut,Starchy Foods,226.8404,20/05/2018,OUT035,2004,Small,Tier 2,Supermarket Type1,6301.1312
NCB06,17.6,low fat,0.082316506,Wpmtov,Health and Hygiene,160.692,10/08/2017,OUT035,2004,Small,Tier 2,Supermarket Type1,1597.92
FDA45,21.25,low fat,0.155350299,Soughscop,Snack Foods,178.237,13/12/2018,OUT035,2004,Small,Tier 2,Supermarket Type1,529.311
NCO26,7.235,low fat,0.076841095,Dreamcoma,Household,117.5492,04/06/2017,OUT035,2004,Small,Tier 2,Supermarket Type1,1969.4364
DRJ25,14.6,low fat,0.151419185,Soyvan,Soft Drinks,50.3692,30/05/2018,OUT017,2007,Small,Tier 2,Supermarket Type1,1034.6532
FDR28,13.85,regular,0.026001976,Coynow,Frozen Foods,161.521,18/01/2018,OUT018,2009,Medium,Tier 3,Supermarket Type2,1794.331
FDI04,13.65,regular,0.073209447,Syriameal,Frozen Foods,197.6426,08/03/2017,OUT018,2009,Medium,Tier 3,Supermarket Type2,2768.3964
DRK12,11.84745989,low fat,0.041683481,Scalebend,Soft Drinks,31.29,27/03/2017,OUT027,1985,Medium,Tier 3,Supermarket Type3,898.83
FDX20,7.365,low fat,0.042560252,Netpit,Fruits and Vegetables,226.172,22/04/2018,OUT046,1997,Small,Tier 1,Supermarket Type1,3169.208
NCI18,18.35,low fat,0.014081156,Loresgunk,Household,223.5746,22/11/2018,OUT018,2009,Medium,Tier 3,Supermarket Type2,3589.9936
FDB36,5.465,regular,0.0691693,Cantouniv,Baking Goods,132.5626,11/10/2017,OUT018,2009,Medium,Tier 3,Supermarket Type2,262.3252
FDN13,18.6,low fat,0.152918384,Soughscop,Breakfast,99.8358,15/10/2018,OUT017,2007,Small,Tier 2,Supermarket Type1,1910.1802
DRD24,13.85,low fat,0.030969274,Volfig,Soft Drinks,140.9154,12/11/2018,OUT017,2007,Small,Tier 2,Supermarket Type1,1701.7848
FDQ28,14,regular,0.060376776,Aportzeds,Frozen Foods,154.5656,02/08/2018,OUT013,1987,High,Tier 3,Supermarket Type1,2471.4496
FDM22,14,regular,0.04192285,Midnam,Snack Foods,54.764,17/02/2018,OUT013,1987,High,Tier 3,Supermarket Type1,1331.6
FDR07,13.22476938,low fat,0.077367431,Sanvim,Fruits and Vegetables,97.0094,25/09/2018,OUT027,1985,Medium,Tier 3,Supermarket Type3,1808.9786
FDV25,5.905,low fat,0.045838211,Hadjiprom,Canned,222.5456,13/03/2017,OUT018,2009,Medium,Tier 3,Supermarket Type2,3315.684
DRF49,7.27,low fat,0.071077939,Soyvan,Soft Drinks,114.2518,14/10/2017,OUT046,1997,Small,Tier 1,Supermarket Type1,2618.5914
FDW51,6.155,regular,0.094659871,Loresgunk,Meat,214.556,27/10/2017,OUT046,1997,Small,Tier 1,Supermarket Type1,2769.728
DRL01,19.5,regular,0.077608838,Eyecub,Soft Drinks,233.4958,07/03/2017,OUT017,2007,Small,Tier 2,Supermarket Type1,5375.0034
FDP25,15.2,low fat,0.021327477,Berryhypo,Canned,216.8824,12/01/2017,OUT017,2007,Small,Tier 2,Supermarket Type1,2838.9712
FDL50,12.15,regular,0.042485444,Egopin,Canned,125.0046,18/06/2017,OUT018,2009,Medium,Tier 3,Supermarket Type2,1743.0644
NCB30,13.3847365,low fat,0.025578526,Humorvane,Household,198.8084,18/06/2018,OUT027,1985,Medium,Tier 3,Supermarket Type3,5555.4352
FDW11,12.6,low fat,0.0489808,Laxnod,Breads,61.9194,09/10/2018,OUT018,2009,Medium,Tier 3,Supermarket Type2,619.194
NCM43,14.5,low fat,0.019471688,Shycrc,Others,164.821,03/05/2018,OUT035,2004,Small,Tier 2,Supermarket Type1,2120.573
FDK44,16.6,low fat,0.122918852,Lindymali,Fruits and Vegetables,173.0738,17/11/2018,OUT017,2007,Small,Tier 2,Supermarket Type1,3823.0236
FDM15,11.8,regular,0.057373797,Humorvane,Meat,151.4366,07/02/2017,OUT013,1987,High,Tier 3,Supermarket Type1,1360.2294
FDS31,13.1,regular,0.044155597,Aportzeds,Fruits and Vegetables,178.8318,12/06/2017,OUT013,1987,High,Tier 3,Supermarket Type1,3969.4996
FDI32,17.7,low fat,0.291865402,Aportzeds,Fruits and Vegetables,115.1834,29/09/2017,OUT010,1998,Small,Tier 3,Grocery Store,345.5502
FDR47,17.85,low fat,0.066255098,Netpit,Breads,196.5794,19/07/2017,OUT010,1998,Small,Tier 3,Grocery Store,585.2382
FDB35,12.3,regular,0.064750025,Dreamcoma,Starchy Foods,92.6804,20/03/2018,OUT045,2002,Small,Tier 2,Supermarket Type1,1010.6844
NCU05,11.8,low fat,0.098312421,Sanvim,Health and Hygiene,81.4618,30/11/2018,OUT010,1998,Small,Tier 3,Grocery Store,161.1236
DRY23,11.84745989,regular,0.191013663,Shycrc,Soft Drinks,42.1112,05/02/2017,OUT019,1985,Small,Tier 1,Grocery Store,42.6112
FDO24,11.1,low fat,0.176573035,Chaoszulu,Baking Goods,157.4604,12/05/2017,OUT045,2002,Small,Tier 2,Supermarket Type1,3010.7476
FDQ28,12.86706128,regular,0.060134441,Piperfide,Frozen Foods,153.0656,24/08/2018,OUT027,1985,Medium,Tier 3,Supermarket Type3,6024.1584
FDV39,11.3,low fat,0.007294652,Syriameal,Meat,198.1426,04/08/2018,OUT045,2002,Small,Tier 2,Supermarket Type1,988.713
NCO17,13.14231395,low fat,0.128478462,Netpit,Health and Hygiene,117.944,02/10/2018,OUT019,1985,Small,Tier 1,Grocery Store,239.688
